coupon,SmsCouponHistoryDetail.java,mall\\mall-portal\\src\\main\\java\\com\\macro\\mall\\portal\\domain\\SmsCouponHistoryDetail.java,"<association property=""coupon"" resultMap=""com.macro.mall.mapper.SmsCouponMapper.BaseResultMap"" columnPrefix=""c_"">",6,SmsCouponHistoryDao.xml,mall\mall-portal\src\main\resources\dao\SmsCouponHistoryDao.xml
weight,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,weight = #{weight*jdbcType=DECIMAL}*,888,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
weight,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,weight*,279,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
weight,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,"<if test=""weight != null"">",763,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
weight,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,"<if test=""weight != null"">",403,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
weight,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,"<if test=""record.weight != null"">",540,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
weight,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,#{weight*jdbcType=DECIMAL}*,404,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
weight,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,"<if test=""weight != null"">",278,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
weight,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,weight = #{weight*jdbcType=DECIMAL}*,843,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
weight,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,weight = #{weight*jdbcType=DECIMAL}*,764,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
weight,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,weight = #{record.weight*jdbcType=DECIMAL}*,671,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
weight,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,sub_title* original_price* stock* low_stock* unit* weight* preview_status* service_ids*,112,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
weight,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,weight = #{record.weight*jdbcType=DECIMAL}*,623,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
weight,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,weight = #{record.weight*jdbcType=DECIMAL}*,541,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
unit,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,"<if test=""record.unit != null"">",537,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
unit,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,"<result column=""unit"" jdbcType=""VARCHAR"" property=""unit"" />",29,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
unit,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,unit = #{record.unit*jdbcType=VARCHAR}*,622,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
unit,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,unit = #{unit*jdbcType=VARCHAR}*,761,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
unit,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,unit = #{unit*jdbcType=VARCHAR}*,887,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
unit,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,unit = #{unit*jdbcType=VARCHAR}*,842,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
unit,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,unit = #{record.unit*jdbcType=VARCHAR}*,670,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
unit,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,unit*,276,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
unit,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,stock* low_stock* unit*,178,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
unit,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,"<if test=""unit != null"">",275,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
unit,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,sub_title* original_price* stock* low_stock* unit* weight* preview_status* service_ids*,112,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
unit,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,"<if test=""unit != null"">",400,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
unit,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,"<if test=""unit != null"">",760,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
unit,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,#{unit*jdbcType=VARCHAR}*,401,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
unit,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,unit = #{record.unit*jdbcType=VARCHAR}*,538,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
unit,PmsProduct.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\PmsProduct.java,#{stock*jdbcType=INTEGER}* #{lowStock*jdbcType=INTEGER}* #{unit*jdbcType=VARCHAR}*,192,PmsProductMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\PmsProductMapper.xml
nickname,UmsMember.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\UmsMember.java,nickname* phone* status*,123,UmsMemberMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\UmsMemberMapper.xml
nickname,UmsMember.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\UmsMember.java,nickname*,151,UmsMemberMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\UmsMemberMapper.xml
nickname,UmsMember.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\UmsMember.java,nickname = #{record.nickname*jdbcType=VARCHAR}*,275,UmsMemberMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\UmsMemberMapper.xml
nickname,UmsMember.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\UmsMember.java,"<if test=""nickname != null"">",150,UmsMemberMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\UmsMemberMapper.xml
nickname,UmsMember.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\UmsMember.java,id* member_level_id* username* password* nickname* phone* status* create_time* icon*,84,UmsMemberMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\UmsMemberMapper.xml
nickname,UmsMember.java,mall\\mall-mbg\\src\\main\\java\\com\\macro\\mall\\model\\UmsMember.java,"<if test=""nickname != null"">",361,UmsMemberMapper.xml,mall\mall-mbg\src\main\resources\com\macro\mall\mapper\UmsMemberMapper.xml
