cache,EhCacheBasedResourceCache.java,powerstone\\src\\org\\powerstone\\acegi\\cache\\EhCacheBasedResourceCache.java,"<property name=""cache"">",329,acegi_context.xml,powerstone\web\WEB-INF\acegi_context.xml
typeID,BusinessType.java,powerstone\\src\\org\\powerstone\\workflow\\model\\BusinessType.java,"name=""typeID""",15,BusinessType.hbm.xml,powerstone\src\org\powerstone\workflow\model\BusinessType.hbm.xml
typeID,BusinessType.java,powerstone\\src\\org\\powerstone\\workflow\\model\\BusinessType.java,"<a href='<%=request.getContextPath()%>/wf/edit_bt.bt?typeID=<c:out value=""${businessType.typeID}""/>'",85,listAllBusinessTypes.jsp,powerstone\web\WEB-INF\views\business_type\listAllBusinessTypes.jsp
typeID,BusinessType.java,powerstone\\src\\org\\powerstone\\workflow\\model\\BusinessType.java,select count(*) from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and task.taskState in(?) and bt.typeID = ?,215,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
typeID,BusinessType.java,powerstone\\src\\org\\powerstone\\workflow\\model\\BusinessType.java,"<a target=""right"" onclick=changeColor('exe_<c:out value=""${businessType.typeID}""/>')",77,listTaskKinds.jsp,powerstone\web\WEB-INF\views\work_list\listTaskKinds.jsp
typeID,BusinessType.java,powerstone\\src\\org\\powerstone\\workflow\\model\\BusinessType.java,"<c:out value=""${flowMeta.businessType.typeID}""/>'",19,listBusinessTypesToJoin.jsp,powerstone\web\WEB-INF\views\business_type\listBusinessTypesToJoin.jsp
typeID,BusinessType.java,powerstone\\src\\org\\powerstone\\workflow\\model\\BusinessType.java,from BusinessType bt order by bt.typeID asc,64,BusinessType.hbm.xml,powerstone\src\org\powerstone\workflow\model\BusinessType.hbm.xml
typeID,BusinessType.java,powerstone\\src\\org\\powerstone\\workflow\\model\\BusinessType.java,"onclick=""selectMe('<c:out value=""${businessType.typeID}""/>')"" /></td>",87,listBusinessTypesToJoin.jsp,powerstone\web\WEB-INF\views\business_type\listBusinessTypesToJoin.jsp
typeID,BusinessType.java,powerstone\\src\\org\\powerstone\\workflow\\model\\BusinessType.java,select bt.typeID*count(*) from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and task.taskState in (?*?) group by bt,182,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
typeID,BusinessType.java,powerstone\\src\\org\\powerstone\\workflow\\model\\BusinessType.java,select bt.typeID*count(*) from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and task.taskState= ? group by bt,200,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
typeID,BusinessType.java,powerstone\\src\\org\\powerstone\\workflow\\model\\BusinessType.java,"<a target=""right""  class=""tablelinke"" onclick=changeColor('finished_<c:out value=""${businessType.typeID}""/>')",117,listTaskKinds.jsp,powerstone\web\WEB-INF\views\work_list\listTaskKinds.jsp
typeID,BusinessType.java,powerstone\\src\\org\\powerstone\\workflow\\model\\BusinessType.java,"value='<c:out value=""${businessType.typeID}""/>'",86,listBusinessTypesToJoin.jsp,powerstone\web\WEB-INF\views\business_type\listBusinessTypesToJoin.jsp
typeID,BusinessType.java,powerstone\\src\\org\\powerstone\\workflow\\model\\BusinessType.java,"href='<%=request.getContextPath()%>/list_finished_tasks.wl?typeID=<c:out value=""${businessType.typeID}""/>'>",118,listTaskKinds.jsp,powerstone\web\WEB-INF\views\work_list\listTaskKinds.jsp
typeID,BusinessType.java,powerstone\\src\\org\\powerstone\\workflow\\model\\BusinessType.java,"<c:out value=""${businessType.typeName}""/>(<font color=""#FF0000"" id='finished_<c:out value=""${businessType.typeID}""/>'>",119,listTaskKinds.jsp,powerstone\web\WEB-INF\views\work_list\listTaskKinds.jsp
typeID,BusinessType.java,powerstone\\src\\org\\powerstone\\workflow\\model\\BusinessType.java,"<c:out value=""${businessType1.typeName}""/>(<font color=""#FF0000"" id='new_<c:out value=""${businessType1.typeID}""/>'>",62,listTaskKinds.jsp,powerstone\web\WEB-INF\views\work_list\listTaskKinds.jsp
typeID,BusinessType.java,powerstone\\src\\org\\powerstone\\workflow\\model\\BusinessType.java,select task from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and bt.typeID = ? and task.taskState in(?*?) order by task.startTime desc,212,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
typeID,BusinessType.java,powerstone\\src\\org\\powerstone\\workflow\\model\\BusinessType.java,"<c:out value=""${businessType.typeName}""/>(<font color=""#FF0000"" id='exe_<c:out value=""${businessType.typeID}""/>'>",79,listTaskKinds.jsp,powerstone\web\WEB-INF\views\work_list\listTaskKinds.jsp
typeID,BusinessType.java,powerstone\\src\\org\\powerstone\\workflow\\model\\BusinessType.java,select task from NewTask nt join nt.flowTask task join task.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where nt.taskCandidateUserID = ? and bt.typeID = ? and task.taskState in(?) order by task.createTime desc,209,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
typeID,BusinessType.java,powerstone\\src\\org\\powerstone\\workflow\\model\\BusinessType.java,"<a target=""right"" onclick=changeColor('new_<c:out value=""${businessType1.typeID}""/>')",60,listTaskKinds.jsp,powerstone\web\WEB-INF\views\work_list\listTaskKinds.jsp
typeID,BusinessType.java,powerstone\\src\\org\\powerstone\\workflow\\model\\BusinessType.java,"<c:if test=""${flowMeta.businessType.typeID == businessType.typeID}"">",82,listBusinessTypesToJoin.jsp,powerstone\web\WEB-INF\views\business_type\listBusinessTypesToJoin.jsp
typeID,BusinessType.java,powerstone\\src\\org\\powerstone\\workflow\\model\\BusinessType.java,select task from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and bt.typeID = ? and task.taskState in(?) order by task.overTime desc,218,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
typeID,BusinessType.java,powerstone\\src\\org\\powerstone\\workflow\\model\\BusinessType.java,"href='<%=request.getContextPath()%>/list_new_tasks.wl?typeID=<c:out value=""${businessType1.typeID}""/>'>",61,listTaskKinds.jsp,powerstone\web\WEB-INF\views\work_list\listTaskKinds.jsp
typeID,BusinessType.java,powerstone\\src\\org\\powerstone\\workflow\\model\\BusinessType.java,select count(*) from NewTask nt join nt.flowTask task join task.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where nt.taskCandidateUserID = ? and task.taskState in(?) and bt.typeID = ?,203,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
typeID,BusinessType.java,powerstone\\src\\org\\powerstone\\workflow\\model\\BusinessType.java,"<c:if test=""${not empty typeID}"">",53,businessTypeForm.jsp,powerstone\web\WEB-INF\views\business_type\businessTypeForm.jsp
typeID,BusinessType.java,powerstone\\src\\org\\powerstone\\workflow\\model\\BusinessType.java,select count(*) from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and task.taskState in(?*?) and bt.typeID = ?,206,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
typeID,BusinessType.java,powerstone\\src\\org\\powerstone\\workflow\\model\\BusinessType.java,select bt.typeID*count(*) from NewTask nt join nt.flowTask task join task.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where nt.taskCandidateUserID = ? and task.taskState in (?) group by bt,179,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
password,User.java,powerstone\\src\\org\\powerstone\\ca\\model\\User.java,"<spring:bind path=""user.password"">",89,userForm.jsp,powerstone\web\WEB-INF\views\user_group\userForm.jsp
password,User.java,powerstone\\src\\org\\powerstone\\ca\\model\\User.java,"<field property=""password"" depends=""twofields*minlength"">",33,validation.xml,powerstone\web\WEB-INF\validation.xml
password,User.java,powerstone\\src\\org\\powerstone\\ca\\model\\User.java,"<spring:bind path=""user.password"">",69,userForm.jsp,powerstone\web\WEB-INF\views\user_group\userForm.jsp
password,User.java,powerstone\\src\\org\\powerstone\\ca\\model\\User.java,"name=""password""",39,User.hbm.xml,powerstone\src\org\powerstone\ca\model\User.hbm.xml
password,User.java,powerstone\\src\\org\\powerstone\\ca\\model\\User.java,"<input type=""password"" class=""input1"" name=""<c:out value=""${status.expression}""/>""",70,userForm.jsp,powerstone\web\WEB-INF\views\user_group\userForm.jsp
password,User.java,powerstone\\src\\org\\powerstone\\ca\\model\\User.java,"<input type=""password"" class=""input1"" name=""<c:out value=""${status.expression}""/>"" value=""<c:out value=""${status.value}""/>""/>",81,userForm.jsp,powerstone\web\WEB-INF\views\user_group\userForm.jsp
groupID,Group.java,powerstone\\src\\org\\powerstone\\ca\\model\\Group.java,select user from User as user left join user.groups as groups where groups.groupID = ?,118,Group.hbm.xml,powerstone\src\org\powerstone\ca\model\Group.hbm.xml
groupID,Group.java,powerstone\\src\\org\\powerstone\\ca\\model\\Group.java,select gr from GroupRight as gr where gr.group.groupID = ? and gr.resource.id = ? and gr.privilege = ?,121,Group.hbm.xml,powerstone\src\org\powerstone\ca\model\Group.hbm.xml
groupID,Group.java,powerstone\\src\\org\\powerstone\\ca\\model\\Group.java,"name=""groupID""",15,Group.hbm.xml,powerstone\src\org\powerstone\ca\model\Group.hbm.xml
groupID,Group.java,powerstone\\src\\org\\powerstone\\ca\\model\\Group.java,select g from Group as g order by g.groupID,115,Group.hbm.xml,powerstone\src\org\powerstone\ca\model\Group.hbm.xml
groupID,Group.java,powerstone\\src\\org\\powerstone\\ca\\model\\Group.java,"<spring:bind path=""group.groupID"">",38,groupForm.jsp,powerstone\web\WEB-INF\views\user_group\groupForm.jsp
email,User.java,powerstone\\src\\org\\powerstone\\ca\\model\\User.java,select u from User as u where u.email = ?,183,User.hbm.xml,powerstone\src\org\powerstone\ca\model\User.hbm.xml
email,User.java,powerstone\\src\\org\\powerstone\\ca\\model\\User.java,"<spring:bind path=""user.email"">",114,userForm.jsp,powerstone\web\WEB-INF\views\user_group\userForm.jsp
email,User.java,powerstone\\src\\org\\powerstone\\ca\\model\\User.java,"<spring:bind path=""user.email"">",67,myInfoForm.jsp,powerstone\web\WEB-INF\views\user_group\myInfoForm.jsp
email,User.java,powerstone\\src\\org\\powerstone\\ca\\model\\User.java,"name=""email""",62,User.hbm.xml,powerstone\src\org\powerstone\ca\model\User.hbm.xml
email,User.java,powerstone\\src\\org\\powerstone\\ca\\model\\User.java,"<field property=""email"" depends=""required*email"">",52,validation.xml,powerstone\web\WEB-INF\validation.xml
taskState,FlowTask.java,powerstone\\src\\org\\powerstone\\workflow\\model\\FlowTask.java,select bt.typeID*count(*) from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and task.taskState= ? group by bt,200,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
taskState,FlowTask.java,powerstone\\src\\org\\powerstone\\workflow\\model\\FlowTask.java,select task from FlowTaskAssigner fta join fta.flowTask task where fta.userID = ? and task.taskState in (?),188,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
taskState,FlowTask.java,powerstone\\src\\org\\powerstone\\workflow\\model\\FlowTask.java,select count(*) from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and task.taskState in(?) and bt.typeID = ?,215,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
taskState,FlowTask.java,powerstone\\src\\org\\powerstone\\workflow\\model\\FlowTask.java,"name=""taskState""",30,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
taskState,FlowTask.java,powerstone\\src\\org\\powerstone\\workflow\\model\\FlowTask.java,select task from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and bt.typeID = ? and task.taskState in(?*?) order by task.startTime desc,212,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
taskState,FlowTask.java,powerstone\\src\\org\\powerstone\\workflow\\model\\FlowTask.java,select task from FlowTask task where task.taskState in (?),185,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
taskState,FlowTask.java,powerstone\\src\\org\\powerstone\\workflow\\model\\FlowTask.java,select task from NewTask nt join nt.flowTask task join task.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where nt.taskCandidateUserID = ? and bt.typeID = ? and task.taskState in(?) order by task.createTime desc,209,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
taskState,FlowTask.java,powerstone\\src\\org\\powerstone\\workflow\\model\\FlowTask.java,select task from FlowTask task where task.taskState in (?) and task.sendEmail = ?,197,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
taskState,FlowTask.java,powerstone\\src\\org\\powerstone\\workflow\\model\\FlowTask.java,select task from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and bt.typeID = ? and task.taskState in(?) order by task.overTime desc,218,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
taskState,FlowTask.java,powerstone\\src\\org\\powerstone\\workflow\\model\\FlowTask.java,select count(*) from FlowTaskAssigner fta join fta.flowTask task where fta.userID = ? and task.taskState in (?),191,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
taskState,FlowTask.java,powerstone\\src\\org\\powerstone\\workflow\\model\\FlowTask.java,select count(*) from NewTask nt join nt.flowTask task join task.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where nt.taskCandidateUserID = ? and task.taskState in(?) and bt.typeID = ?,203,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
taskState,FlowTask.java,powerstone\\src\\org\\powerstone\\workflow\\model\\FlowTask.java,select theFP from FlowProc theFP where theFP.flowProcID in (select fp.flowProcID from FlowTask ft join ft.flowProcTransaction.flowProc fp where fp.flowDeploy.flowDeployID = ? and ft.taskState not in (?) group by fp having count(ft) >0),121,FlowProc.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowProc.hbm.xml
taskState,FlowTask.java,powerstone\\src\\org\\powerstone\\workflow\\model\\FlowTask.java,select bt.typeID*count(*) from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and task.taskState in (?*?) group by bt,182,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
taskState,FlowTask.java,powerstone\\src\\org\\powerstone\\workflow\\model\\FlowTask.java,select count(*) from FlowTaskUser tu join tu.flowTask task join tu.flowTask.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where tu.userID = ? and task.taskState in(?*?) and bt.typeID = ?,206,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
taskState,FlowTask.java,powerstone\\src\\org\\powerstone\\workflow\\model\\FlowTask.java,select bt.typeID*count(*) from NewTask nt join nt.flowTask task join task.flowNodeBinding.flowDeploy.workflowMeta.businessType bt where nt.taskCandidateUserID = ? and task.taskState in (?) group by bt,179,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
taskState,FlowTask.java,powerstone\\src\\org\\powerstone\\workflow\\model\\FlowTask.java,select task from FlowTaskUser tu join tu.flowTask task where task.taskState in (?) and tu.userID = ?,194,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
taskState,FlowTask.java,powerstone\\src\\org\\powerstone\\workflow\\model\\FlowTask.java,select task from FlowTask task join task.flowNodeBinding node where node.nodeBindingID = ? and task.taskState = ?,176,FlowTask.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowTask.hbm.xml
flowMetaID,WorkflowMeta.java,powerstone\\src\\org\\powerstone\\workflow\\model\\WorkflowMeta.java,"<%=request.getContextPath()%>/wf/remove_flow_meta.fm?flowMetaID=<c:out value=""${workflowMeta.flowMetaID}""/>"";",129,seeFlowMeta.jsp,powerstone\web\WEB-INF\views\flow_meta\seeFlowMeta.jsp
flowMetaID,WorkflowMeta.java,powerstone\\src\\org\\powerstone\\workflow\\model\\WorkflowMeta.java,"onclick=""window.location.replace('<%=request.getContextPath()%>/wf/preview_image_form.fm?flowMetaID=<c:out value=""${workflowMeta.flowMetaID}""/>');""/>",182,seeFlowMeta.jsp,powerstone\web\WEB-INF\views\flow_meta\seeFlowMeta.jsp
flowMetaID,WorkflowMeta.java,powerstone\\src\\org\\powerstone\\workflow\\model\\WorkflowMeta.java,"url=""<%=request.getContextPath()%>/wf/see_flow_meta.fm?flowMetaID=<c:out value=""${flowMeta.flowMetaID}""/>"";",41,listBusinessTypesToJoin.jsp,powerstone\web\WEB-INF\views\business_type\listBusinessTypesToJoin.jsp
flowMetaID,WorkflowMeta.java,powerstone\\src\\org\\powerstone\\workflow\\model\\WorkflowMeta.java,"name=""flowMetaID""",15,WorkflowMeta.hbm.xml,powerstone\src\org\powerstone\workflow\model\WorkflowMeta.hbm.xml
flowMetaID,WorkflowMeta.java,powerstone\\src\\org\\powerstone\\workflow\\model\\WorkflowMeta.java,"<input type=""hidden"" name=""flowMetaID"" value='<c:out value=""${flowMeta.flowMetaID}""/>'/>",74,listBusinessTypesToJoin.jsp,powerstone\web\WEB-INF\views\business_type\listBusinessTypesToJoin.jsp
flowMetaID,WorkflowMeta.java,powerstone\\src\\org\\powerstone\\workflow\\model\\WorkflowMeta.java,"<a href=""#"" onclick=""changeSonColor('other-<c:out value=""${idee.count}""/>'*'<c:out value=""${flowMeta.flowMetaID}""/>')"">",120,listAllBusinessTypes.jsp,powerstone\web\WEB-INF\views\business_type\listAllBusinessTypes.jsp
flowMetaID,WorkflowMeta.java,powerstone\\src\\org\\powerstone\\workflow\\model\\WorkflowMeta.java,"<%=request.getContextPath()%>/wf/list_bt_to_join.bt?flowMetaID=<c:out value=""${workflowMeta.flowMetaID}""/>');",21,seeFlowMeta.jsp,powerstone\web\WEB-INF\views\flow_meta\seeFlowMeta.jsp
flowMetaID,WorkflowMeta.java,powerstone\\src\\org\\powerstone\\workflow\\model\\WorkflowMeta.java,"<a onclick=""changeSonColor('<c:out value=""${ide.count}""/>-<c:out value=""${idee.count}""/>'*'<c:out value=""${flowMeta.flowMetaID}""/>')"">",98,listAllBusinessTypes.jsp,powerstone\web\WEB-INF\views\business_type\listAllBusinessTypes.jsp
flowMetaID,WorkflowMeta.java,powerstone\\src\\org\\powerstone\\workflow\\model\\WorkflowMeta.java,"href='<%=request.getContextPath()%>/wf/preview_big.fm?flowMetaID=<c:out value=""${workflowMeta.flowMetaID}""/>'",166,seeFlowMeta.jsp,powerstone\web\WEB-INF\views\flow_meta\seeFlowMeta.jsp
flowMetaID,WorkflowMeta.java,powerstone\\src\\org\\powerstone\\workflow\\model\\WorkflowMeta.java,from WorkflowMeta wm order by wm.flowMetaID asc,98,WorkflowMeta.hbm.xml,powerstone\src\org\powerstone\workflow\model\WorkflowMeta.hbm.xml
flowMetaID,WorkflowMeta.java,powerstone\\src\\org\\powerstone\\workflow\\model\\WorkflowMeta.java,"><img src='<%=request.getContextPath()%>/wf/preview_flow_meta.fm?flowMetaID=<c:out value=""${workflowMeta.flowMetaID}""/>'",167,seeFlowMeta.jsp,powerstone\web\WEB-INF\views\flow_meta\seeFlowMeta.jsp
flowDeployID,FlowDeploy.java,powerstone\\src\\org\\powerstone\\workflow\\model\\FlowDeploy.java,select theFP from FlowProc theFP where theFP.flowProcID in (select fp.flowProcID from FlowTask ft join ft.flowProcTransaction.flowProc fp where fp.flowDeploy.flowDeployID = ? and ft.taskState not in (?) group by fp having count(ft) >0),121,FlowProc.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowProc.hbm.xml
flowDeployID,FlowDeploy.java,powerstone\\src\\org\\powerstone\\workflow\\model\\FlowDeploy.java,"name=""flowDeployID""",15,FlowDeploy.hbm.xml,powerstone\src\org\powerstone\workflow\model\FlowDeploy.hbm.xml
flowDeployID,FlowDeploy.java,powerstone\\src\\org\\powerstone\\workflow\\model\\FlowDeploy.java,"<spring:bind path=""flowDeploy.flowDeployID"">",33,flowDeployForm.jsp,powerstone\web\WEB-INF\views\flow_deploy\flowDeployForm.jsp
groups,User.java,powerstone\\src\\org\\powerstone\\ca\\model\\User.java,select user from User as user left join user.groups as groups where groups.groupID = ?,118,Group.hbm.xml,powerstone\src\org\powerstone\ca\model\Group.hbm.xml
